candle_idx,direction,confidence,entry_price,exit_price,win
1897,BUY,0.9764,1.15311,1.15367,True
1898,PUT,0.7281,1.15314,1.15332,False
1899,BUY,0.9721,1.1531,1.1533,True
1900,PUT,0.9641,1.15367,1.15328,True
1901,PUT,0.9138,1.15332,1.15329,True
1902,PUT,0.8894,1.1533,1.15329,True
1903,PUT,0.7603,1.15328,1.15328,True
1904,PUT,0.939,1.15329,1.1533,False
1905,PUT,0.9728,1.15329,1.15327,True
1906,PUT,0.8619,1.15328,1.1533,False
1907,PUT,0.9669,1.1533,1.15327,True
1909,PUT,0.9625,1.1533,1.15328,True
1910,BUY,0.6961,1.15327,1.15329,True
1911,PUT,0.8875,1.1533,1.1533,True
1913,PUT,0.7915,1.15329,1.1533,False
1914,PUT,0.8513,1.1533,1.15327,True
1915,BUY,0.6994,1.15328,1.1533,True
1916,PUT,0.8655,1.1533,1.15327,True
1917,BUY,0.8181,1.15327,1.1533,True
1918,PUT,0.9067,1.1533,1.15327,True
1919,BUY,0.8912,1.15327,1.1533,True
1920,PUT,0.6987,1.1533,1.15328,True
1921,BUY,0.941,1.15327,1.15329,True
1922,PUT,0.6202,1.1533,1.15366,False
1923,BUY,0.9054,1.15328,1.15338,True
1925,PUT,0.981,1.15366,1.15335,True
1926,PUT,0.9221,1.15338,1.15338,True
1927,PUT,0.9329,1.15338,1.15335,True
1928,PUT,0.7597,1.15335,1.15338,False
1929,PUT,0.9681,1.15338,1.15335,True
1931,PUT,0.9705,1.15338,1.15336,True
1932,PUT,0.6517,1.15335,1.15336,False
1933,PUT,0.9502,1.15337,1.15337,True
1934,PUT,0.7194,1.15336,1.15335,True
1935,PUT,0.6434,1.15336,1.15338,False
1936,PUT,0.9069,1.15337,1.15335,True
1937,BUY,0.6224,1.15335,1.15338,True
1938,PUT,0.9234,1.15338,1.15335,True
1939,BUY,0.7576,1.15335,1.15338,True
1940,PUT,0.9228,1.15338,1.15336,True
1941,BUY,0.8581,1.15335,1.15337,True
1942,PUT,0.9121,1.15338,1.15338,True
1943,BUY,0.7564,1.15336,1.15336,False
1945,PUT,0.6768,1.15338,1.15335,True
1946,BUY,0.8779,1.15336,1.15338,True
1947,PUT,0.6302,1.15338,1.15331,True
1948,BUY,0.9645,1.15335,1.15344,True
1949,PUT,0.6706,1.15338,1.15301,True
1950,BUY,0.9764,1.15331,1.15319,False
1951,PUT,0.9511,1.15344,1.15325,True
1954,PUT,0.6518,1.15325,1.15324,True
1955,BUY,0.6752,1.15325,1.15327,True
1957,BUY,0.8574,1.15324,1.15308,False
1958,PUT,0.8908,1.15327,1.15301,True
1959,PUT,0.7011,1.15295,1.15307,False
1960,PUT,0.8065,1.15308,1.15305,True
1961,BUY,0.659,1.15301,1.15306,True
1962,PUT,0.85,1.15307,1.15307,True
1963,BUY,0.7442,1.15305,1.15305,False
1964,BUY,0.8158,1.15306,1.15307,True
1966,BUY,0.9428,1.15305,1.15308,True
1967,PUT,0.6617,1.15307,1.15304,True
1968,BUY,0.8756,1.15304,1.15307,True
1969,PUT,0.8953,1.15308,1.15305,True
1970,BUY,0.7121,1.15304,1.15307,True
1971,PUT,0.842,1.15307,1.15305,True
1972,BUY,0.6663,1.15305,1.15299,False
1974,PUT,0.7606,1.15305,1.15313,False
1975,BUY,0.8045,1.15299,1.15316,True
1976,PUT,0.927,1.15318,1.15312,True
1978,PUT,0.8819,1.15316,1.15312,True
1980,PUT,0.9455,1.15316,1.15303,True
1982,PUT,0.9668,1.1532,1.15307,True
1983,BUY,0.7907,1.15303,1.15307,True
1984,PUT,0.7594,1.15307,1.15307,True
1985,PUT,0.6811,1.15307,1.15305,True
1986,PUT,0.7828,1.15307,1.15308,False
1987,PUT,0.7567,1.15307,1.15304,True
1988,BUY,0.9659,1.15305,1.15308,True
1989,PUT,0.9048,1.15308,1.15305,True
1990,BUY,0.9239,1.15304,1.15309,True
1991,PUT,0.9773,1.15308,1.15299,True
1992,BUY,0.8298,1.15305,1.15301,False
1993,PUT,0.9663,1.15309,1.15302,True
1994,BUY,0.6424,1.15299,1.153,True
1996,PUT,0.7147,1.15302,1.15294,True
1997,PUT,0.6228,1.153,1.15352,False
1998,PUT,0.6142,1.15296,1.15364,False
1999,BUY,0.8615,1.15294,1.15306,True
2000,PUT,0.9213,1.15352,1.15309,True
2001,PUT,0.8791,1.15364,1.15311,True
2002,PUT,0.6108,1.15306,1.15311,False
2004,PUT,0.9142,1.15311,1.15311,True
2005,PUT,0.9152,1.15311,1.15309,True
2007,PUT,0.8762,1.15311,1.15308,True
2008,BUY,0.7067,1.15309,1.15312,True
2009,PUT,0.9139,1.15311,1.15308,True
2010,BUY,0.8176,1.15308,1.15313,True
2011,PUT,0.9676,1.15312,1.15301,True
2012,BUY,0.8358,1.15308,1.15305,False
2013,PUT,0.9701,1.15313,1.15305,True
2014,BUY,0.8596,1.15301,1.15297,False
2015,PUT,0.6852,1.15305,1.15301,True
2016,PUT,0.7878,1.15305,1.15298,True
2017,BUY,0.7199,1.15297,1.15299,True
2018,PUT,0.7089,1.15301,1.15295,True
